,region,area,year,bedroom,elevator,parking,storeroom,price
0, آبشار ,100,1400,2,True,True,True,472000000
1, آبشار ,350,1395,3,True,True,False,30000000000
2, آبشار ,60,1393,2,True,False,True,1450000000
3, آبشار ,43,1382,1,False,False,True,810000000
4, آبشار ,88,1377,2,False,True,True,1380000000
5, آبشار ,45,1383,1,False,True,True,1030000000
6, آبشار ,90,1400,2,True,True,True,1000000000
7, آبشار ,130,1386,3,True,True,True,4000000000
8, آبشار ,100,1400,2,True,True,True,472000000
9, آبشار ,350,1395,3,True,True,False,30000000000
10, آبشار ,60,1393,2,True,False,True,1450000000
11, آبشار ,43,1382,1,False,False,True,810000000
12, آبشار ,88,1377,2,False,True,True,1380000000
13, آبشار ,45,1383,1,False,True,True,1030000000
14, آبشار ,90,1400,2,True,True,True,1000000000
15, آبشار ,130,1386,3,True,True,True,4000000000
16, آبشار ,55,1386,1,True,False,True,1045000000
17, آبشار ,70,1391,2,False,False,True,1500000000
18, آبشار ,48,1380,1,False,True,True,1200000000
19, آبشار ,100,1400,2,True,True,True,1300000000
20, آبشار ,150,1399,2,False,True,True,650000000
21, آبشار ,55,1389,1,True,False,True,1030000000
22, آبشار ,45,1399,1,False,True,False,1150000000
23, آبشار ,63,1389,1,True,True,True,1290000000
24, آبشار ,124,1400,2,True,True,True,1314400000
25, آبشار ,63,1384,1,True,False,True,950000000
26, آبشار ,140,1400,3,True,True,True,1442000000
27, آبشار ,52,1385,1,False,True,True,700000000
28, آبشار ,60,1385,1,False,False,True,1360000000
29, آبشار ,60,1384,2,True,True,False,1000000000
30, آبشار ,100,1400,2,True,True,True,472000000
31, آبشار ,350,1395,3,True,True,False,30000000000
32, آبشار ,60,1393,2,True,False,True,1450000000
33, آبشار ,43,1382,1,False,False,True,810000000
34, آبشار ,88,1377,2,False,True,True,1380000000
35, آبشار ,45,1383,1,False,True,True,1030000000
36, آبشار ,90,1400,2,True,True,True,1000000000
37, آبشار ,130,1386,3,True,True,True,4000000000
38, آبشار ,55,1386,1,True,False,True,1045000000
39, آبشار ,70,1391,2,False,False,True,1500000000
40, آبشار ,48,1380,1,False,True,True,1200000000
41, آبشار ,100,1400,2,True,True,True,1300000000
42, آبشار ,150,1399,2,False,True,True,650000000
43, آبشار ,55,1389,1,True,False,True,1030000000
44, آبشار ,45,1399,1,False,True,False,1150000000
45, آبشار ,63,1389,1,True,True,True,1290000000
46, آبشار ,124,1400,2,True,True,True,1314400000
47, آبشار ,63,1384,1,True,False,True,950000000
48, آبشار ,140,1400,3,True,True,True,1442000000
49, آبشار ,52,1385,1,False,True,True,700000000
50, آبشار ,60,1385,1,False,False,True,1360000000
51, آبشار ,60,1384,2,True,True,False,1000000000
52, آبشار ,100,1400,2,True,True,True,472000000
53, آبشار ,350,1395,3,True,True,False,30000000000
54, آبشار ,60,1393,2,True,False,True,1450000000
55, آبشار ,43,1382,1,False,False,True,810000000
56, آبشار ,88,1377,2,False,True,True,1380000000
57, آبشار ,45,1383,1,False,True,True,1030000000
58, آبشار ,90,1400,2,True,True,True,1000000000
59, آبشار ,130,1386,3,True,True,True,4000000000
60, آبشار ,55,1386,1,True,False,True,1045000000
61, آبشار ,70,1391,2,False,False,True,1500000000
62, آبشار ,48,1380,1,False,True,True,1200000000
63, آبشار ,100,1400,2,True,True,True,1300000000
64, آبشار ,150,1399,2,False,True,True,650000000
65, آبشار ,55,1389,1,True,False,True,1030000000
66, آبشار ,45,1399,1,False,True,False,1150000000
67, آبشار ,63,1389,1,True,True,True,1290000000
68, آبشار ,124,1400,2,True,True,True,1314400000
69, آبشار ,63,1384,1,True,False,True,950000000
70, آبشار ,140,1400,3,True,True,True,1442000000
71, آبشار ,52,1385,1,False,True,True,700000000
72, آبشار ,60,1385,1,False,False,True,1360000000
73, آبشار ,60,1384,2,True,True,False,1000000000
74, آبشار ,100,1400,2,True,True,True,472000000
75, آبشار ,350,1395,3,True,True,False,30000000000
76, آبشار ,60,1393,2,True,False,True,1450000000
77, آبشار ,43,1382,1,False,False,True,810000000
78, آبشار ,88,1377,2,False,True,True,1380000000
79, آبشار ,45,1383,1,False,True,True,1030000000
80, آبشار ,90,1400,2,True,True,True,1000000000
81, آبشار ,130,1386,3,True,True,True,4000000000
82, آبشار ,55,1386,1,True,False,True,1045000000
83, آبشار ,70,1391,2,False,False,True,1500000000
84, آبشار ,48,1380,1,False,True,True,1200000000
85, آبشار ,100,1400,2,True,True,True,1300000000
86, آبشار ,150,1399,2,False,True,True,650000000
87, آبشار ,55,1389,1,True,False,True,1030000000
88, آبشار ,45,1399,1,False,True,False,1150000000
89, آبشار ,63,1389,1,True,True,True,1290000000
90, آبشار ,124,1400,2,True,True,True,1314400000
91, آبشار ,63,1384,1,True,False,True,950000000
92, آبشار ,140,1400,3,True,True,True,1442000000
93, آبشار ,52,1385,1,False,True,True,700000000
94, آبشار ,60,1385,1,False,False,True,1360000000
95, آبشار ,60,1384,2,True,True,False,1000000000
96, آبشار ,100,1400,2,True,True,True,472000000
97, آبشار ,350,1395,3,True,True,False,30000000000
98, آبشار ,60,1393,2,True,False,True,1450000000
99, آبشار ,43,1382,1,False,False,True,810000000
100, آبشار ,88,1377,2,False,True,True,1380000000
101, آبشار ,45,1383,1,False,True,True,1030000000
102, آبشار ,90,1400,2,True,True,True,1000000000
103, آبشار ,130,1386,3,True,True,True,4000000000
104, آبشار ,55,1386,1,True,False,True,1045000000
105, آبشار ,70,1391,2,False,False,True,1500000000
106, آبشار ,48,1380,1,False,True,True,1200000000
107, آبشار ,100,1400,2,True,True,True,1300000000
108, آبشار ,150,1399,2,False,True,True,650000000
109, آبشار ,55,1389,1,True,False,True,1030000000
110, آبشار ,45,1399,1,False,True,False,1150000000
111, آبشار ,63,1389,1,True,True,True,1290000000
112, آبشار ,124,1400,2,True,True,True,1314400000
113, آبشار ,63,1384,1,True,False,True,950000000
114, آبشار ,140,1400,3,True,True,True,1442000000
115, آبشار ,52,1385,1,False,True,True,700000000
116, آبشار ,60,1385,1,False,False,True,1360000000
117, آبشار ,60,1384,2,True,True,False,1000000000
118, آبشار ,100,1400,2,True,True,True,472000000
119, آبشار ,350,1395,3,True,True,False,30000000000
120, آبشار ,60,1393,2,True,False,True,1450000000
121, آبشار ,43,1382,1,False,False,True,810000000
122, آبشار ,88,1377,2,False,True,True,1380000000
123, آبشار ,45,1383,1,False,True,True,1030000000
124, آبشار ,90,1400,2,True,True,True,1000000000
125, آبشار ,130,1386,3,True,True,True,4000000000
126, آبشار ,55,1386,1,True,False,True,1045000000
127, آبشار ,70,1391,2,False,False,True,1500000000
128, آبشار ,48,1380,1,False,True,True,1200000000
129, آبشار ,100,1400,2,True,True,True,1300000000
130, آبشار ,150,1399,2,False,True,True,650000000
131, آبشار ,55,1389,1,True,False,True,1030000000
132, آبشار ,45,1399,1,False,True,False,1150000000
133, آبشار ,63,1389,1,True,True,True,1290000000
134, آبشار ,124,1400,2,True,True,True,1314400000
135, آبشار ,63,1384,1,True,False,True,950000000
136, آبشار ,140,1400,3,True,True,True,1442000000
137, آبشار ,52,1385,1,False,True,True,700000000
138, آبشار ,60,1385,1,False,False,True,1360000000
139, آبشار ,60,1384,2,True,True,False,1000000000
140, آبشار ,100,1400,2,True,True,True,472000000
141, آبشار ,350,1395,3,True,True,False,30000000000
142, آبشار ,60,1393,2,True,False,True,1450000000
143, آبشار ,43,1382,1,False,False,True,810000000
144, آبشار ,88,1377,2,False,True,True,1380000000
145, آبشار ,45,1383,1,False,True,True,1030000000
146, آبشار ,90,1400,2,True,True,True,1000000000
147, آبشار ,130,1386,3,True,True,True,4000000000
148, آبشار ,55,1386,1,True,False,True,1045000000
149, آبشار ,70,1391,2,False,False,True,1500000000
150, آبشار ,48,1380,1,False,True,True,1200000000
151, آبشار ,100,1400,2,True,True,True,1300000000
152, آبشار ,150,1399,2,False,True,True,650000000
153, آبشار ,55,1389,1,True,False,True,1030000000
154, آبشار ,45,1399,1,False,True,False,1150000000
155, آبشار ,63,1389,1,True,True,True,1290000000
156, آبشار ,124,1400,2,True,True,True,1314400000
157, آبشار ,63,1384,1,True,False,True,950000000
158, آبشار ,140,1400,3,True,True,True,1442000000
159, آبشار ,52,1385,1,False,True,True,700000000
160, آبشار ,60,1385,1,False,False,True,1360000000
161, آبشار ,60,1384,2,True,True,False,1000000000
162, آبشار تهران ,87,1400,2,True,True,True,904800000
163, آبشار تهران ,99,1400,2,True,True,True,1030000000
164, آبشار تهران ,99,1400,2,True,True,True,470000000
165, آبشار تهران ,100,1385,2,False,True,True,2900000000
166, آبشار تهران ,130,1400,3,True,True,True,1352000000
167, آبشار تهران ,182,1400,4,True,True,True,2720000000
168, آبشار تهران ,132,1391,3,True,True,True,3700000000
169, آبشار تهران ,69,1384,1,True,False,True,2100000000
170, آبشار تهران ,132,1391,3,True,True,True,3800000000
171, آبشار تهران ,105,1393,2,True,True,True,2940000000
172, آبشار تهران ,60,1388,1,True,True,True,1980000000
173, آبشار تهران ,70,1388,1,True,False,True,2200000000
174, آبشار تهران ,90,1387,2,True,True,True,2350000000
175, آبشار تهران ,75,1383,2,True,False,True,1900000000
176, آبشار تهران ,98,1388,2,False,True,True,3000000000
177, آبشار تهران ,100,1400,2,True,True,True,1100000000
178, آبشار تهران ,123,1400,2,True,True,True,1236000000
179, آبشار تهران ,97,1388,2,True,True,True,3100000000
180, آبشار تهران ,105,1394,2,True,True,True,3100000000
181, آبشار تهران ,73,1385,2,True,True,True,2270000000
182, آبشار تهران ,140,1400,3,True,True,True,1442000000
183, آبشار تهران ,65,1388,1,True,True,True,1600000000
184, آبشار تهران ,81,1386,2,False,True,True,2146500000
185, آبشار تهران ,120,1390,2,True,True,True,3600000000
186, آبشار تهران ,69,1386,1,True,True,False,2050000000
187, آبشار تهران ,69,1386,1,True,False,False,2100000000
188, آبشار تهران ,122,1400,3,True,True,True,1760000000
189, آبشار تهران ,120,1400,2,True,True,True,1236000000
190, آبشار تهران ,94,1400,2,True,True,True,1030000000
191, آبشار تهران ,120,1399,3,True,True,True,3600000000
192, آبشار تهران ,120,1400,2,True,True,True,1236000000
193, آبشار تهران ,100,1400,2,True,True,True,1030000000
194, آبشار تهران ,75,1388,2,True,True,True,1900000000
195, آبشار تهران ,105,1393,2,True,True,True,3000000000
196, آبشار تهران ,115,1390,2,True,True,True,3105000000
197, آبشار تهران ,67,1385,2,True,True,False,1950000000
198, آبشار تهران ,80,1389,2,True,True,True,2550000000
199, آبشار تهران ,91,1400,2,True,True,True,2800000000
200, آبشار تهران ,119,1399,3,True,True,True,3700000000
201, آبشار تهران ,70,1385,1,True,True,False,2150000000
202, آبشار تهران ,140,1400,3,True,True,True,4200000000
203, آبشار تهران ,110,1400,2,True,True,True,3300000000
204, آبشار تهران ,140,1400,2,True,True,True,1442000000
205, آبشار تهران ,140,1400,3,True,True,True,4200000000
206, آبشار تهران ,98,1387,2,False,True,True,2800000000
207, آبشار تهران ,101,1400,2,True,True,True,1040000000
208, آبشار تهران ,75,1388,2,True,False,True,1870000000
209, آبشار تهران ,150,1400,3,True,True,True,4500000000
210, آبشار تهران ,89,1400,2,True,True,True,900000000
211, آبشار تهران ,98,1385,2,False,True,True,2800000000
212, آبشار تهران ,100,1386,2,False,True,True,2900000000
213, آبشار تهران ,60,1400,2,True,True,True,1200000000
214, آبشار تهران ,132,1399,3,True,True,True,5544000000
215, آبشار تهران ,75,1386,2,True,True,True,1850000000
216, آبشار تهران ,69,1388,1,True,True,True,2000000000
217, آبشار تهران ,90,1400,2,True,True,True,1675000000
218, آبشار تهران ,110,1399,2,True,True,True,6950000000
219, آبشار تهران ,104,1400,2,True,True,True,3500000000
220, آبشار تهران ,145,1400,2,True,True,True,1442000000
221, آبشار تهران ,115,1393,2,True,True,True,3100000000
222, آبشار تهران ,102,1400,2,True,True,True,2200000000
223, آبشار تهران ,132,1395,3,True,True,True,4488000000
224, آبشار تهران ,122,1400,2,True,True,True,1236000000
225, آبشار تهران ,75,1384,2,False,True,True,1400000000
226, آبشار تهران ,90,1396,2,True,True,True,2325000000
227, آبشار تهران ,95,1400,2,True,True,True,1000000000
228, آبشار تهران ,200,1400,3,True,True,True,3400000000
229, آبشار تهران ,110,1400,2,True,True,True,1150000000
230, آبشار تهران ,116,1393,2,True,True,True,3100000000
231, آبشار تهران ,78,1390,2,True,True,True,2400000000
232, آبشار تهران ,77,1385,2,True,True,True,2380000000
